
                       mean       std    median      5.0%     95.0%     n_eff     r_hat
      Lambda[0,0]      1.00      0.00      1.00      1.00      1.00       nan       nan
   W_tilde[131,2]     -0.43      1.13     -0.35     -2.29      1.38   1069.39      1.00
   W_tilde[131,3]     -4.19      2.10     -3.90     -7.34     -0.86    788.85      1.00
   W_tilde[131,4]      1.54      0.71      1.52      0.55      2.84    945.78      1.00
   W_tilde[132,0]     -0.98      1.53     -0.81     -3.37      1.51   1063.15      1.01
   W_tilde[132,1]      8.41      2.01      8.32      5.09     11.51    416.53      1.00
   W_tilde[132,2]      0.37      1.31      0.46     -1.82      2.37   1109.29      1.00
   W_tilde[132,3]      2.46      0.92      2.46      0.98      3.88    647.01      1.00
   W_tilde[132,4]      3.53      1.05      3.48      1.93      5.31    674.99      1.00
   W_tilde[133,0]     -4.10      1.91     -3.99     -7.07     -0.95    617.32      1.01
   W_tilde[133,1]      1.92      3.53      2.66     -3.11      7.13    573.78      1.00
   W_tilde[133,2]      3.29      1.12      3.28      1.55      5.14    962.90      1.00
   W_tilde[133,3]     -0.73      1.70     -0.43     -3.24      1.85    652.23      1.00
   W_tilde[133,4]      5.40      1.22      5.30      3.59      7.62    423.97      1.00
   W_tilde[134,0]      7.16      2.26      6.98      3.39     10.47    620.94      1.00
   W_tilde[134,1]     -3.89      5.00     -2.45    -11.08      2.41    627.89      1.00
   W_tilde[134,2]     -5.70      2.36     -5.56    -10.05     -2.36    509.48      1.00
   W_tilde[134,3]     -1.84      2.45     -1.37     -5.73      1.78    735.50      1.00
   W_tilde[134,4]     -3.77      2.59     -3.53     -7.62      0.24   1071.43      1.00
   W_tilde[135,0]     -6.92      2.19     -6.86    -10.73     -3.36    301.38      1.01
   W_tilde[135,1]     -7.10      6.32     -6.09    -16.93      1.92    750.93      1.00
   W_tilde[135,2]      5.86      1.16      5.75      3.91      7.62    268.87      1.03
   W_tilde[135,3]     -1.34      2.82     -0.84     -5.77      2.55    922.20      1.00
   W_tilde[135,4]     -0.86      1.97     -0.47     -3.83      1.88    745.82      1.00
   W_tilde[136,0]     -0.97      1.91     -0.63     -4.05      1.93    748.24      1.00
   W_tilde[136,1]     -5.23      5.12     -4.33    -12.81      1.91    652.03      1.00
   W_tilde[136,2]      0.45      1.56      0.57     -1.86      3.14   1006.83      1.00
   W_tilde[136,3]     -3.29      2.43     -2.80     -6.85      0.11    658.74      1.00
   W_tilde[136,4]      1.63      0.83      1.60      0.25      3.00    697.74      1.00
   W_tilde[137,0]      7.16      1.94      6.93      4.33     10.43    428.26      1.00
   W_tilde[137,1]      0.90      3.09      1.64     -2.29      4.54    241.38      1.00
   W_tilde[137,2]     -5.73      2.08     -5.64     -9.11     -2.53    465.91      1.00
   W_tilde[137,3]     -0.90      1.38     -0.64     -2.70      0.91    361.27      1.00
   W_tilde[137,4]     -1.15      1.90     -0.83     -3.81      1.60    712.62      1.00
   W_tilde[138,0]     -0.62      1.29     -0.54     -2.83      1.35    869.63      1.00
   W_tilde[138,1]     -3.72      4.41     -2.85    -10.17      2.32    707.56      1.00
   W_tilde[138,2]     -0.63      1.12     -0.54     -2.31      1.25    510.64      1.01
   W_tilde[138,3]     -3.14      2.20     -2.72     -6.42      0.06    695.22      1.00
   W_tilde[138,4]      2.32      0.88      2.28      1.11      3.98    999.37      1.00
   W_tilde[139,0]      3.26      1.35      3.20      1.02      5.29    665.84      1.00
   W_tilde[139,1]     -9.26      5.86     -8.81    -18.08      0.55    983.26      1.00
   W_tilde[139,2]     -3.03      1.65     -2.95     -5.65     -0.41    861.34      1.00
   W_tilde[139,3]     -3.96      2.41     -3.66     -7.75     -0.28    977.71      1.00
   W_tilde[139,4]     -3.35      2.31     -2.94     -7.00     -0.13   1108.91      1.00
   W_tilde[140,0]     -2.20      1.81     -1.74     -5.10      0.14    631.29      1.00
   W_tilde[140,1]      8.97      2.13      8.81      5.61     12.48    349.87      1.00
   W_tilde[140,2]      2.09      1.45      2.04     -0.33      4.35    835.88      1.00
   W_tilde[140,3]      2.21      1.00      2.25      0.49      3.76    756.99      1.00
   W_tilde[140,4]      5.62      1.51      5.47      3.34      8.24    863.91      1.00
   W_tilde[141,0]     -6.81      2.53     -6.68    -10.65     -2.30    804.90      1.00
   W_tilde[141,1]     -9.37      5.41     -8.37    -17.03     -1.03    687.82      1.00
   W_tilde[141,2]      5.60      1.66      5.37      2.97      8.10    776.65      1.00
   W_tilde[141,3]     -2.54      2.42     -2.27     -6.04      1.21    763.73      1.00
   W_tilde[141,4]     -0.67      2.32     -0.27     -4.51      2.60    875.63      1.00
   W_tilde[142,0]     -1.75      0.96     -1.59     -3.33     -0.32    547.69      1.00
   W_tilde[142,1]     -2.43      6.10     -0.20    -12.09      4.63    251.52      1.00
   W_tilde[142,2]     -0.16      0.91     -0.10     -1.77      1.12    399.41      1.00
   W_tilde[142,3]      0.02      2.82      0.85     -4.35      3.94    233.65      1.00
   W_tilde[142,4]     -2.28      2.10     -1.88     -5.20      0.95    597.43      1.00
   W_tilde[143,0]     -4.37      1.97     -4.24     -7.70     -1.40    660.37      1.00
   W_tilde[143,1]      0.52      3.33      1.31     -4.05      5.33    451.40      1.00
   W_tilde[143,2]      4.16      1.03      4.06      2.65      6.05    641.77      1.00
   W_tilde[143,3]      2.92      1.50      3.01      0.79      5.04    534.54      1.00
   W_tilde[143,4]     -2.64      1.79     -2.30     -5.72     -0.20    685.83      1.00
   W_tilde[144,0]      4.22      1.45      4.10      1.87      6.61    719.99      1.00
   W_tilde[144,1]     -7.18      4.92     -6.35    -14.47      0.06    636.39      1.00
   W_tilde[144,2]     -3.65      1.84     -3.63     -7.05     -0.91    649.90      1.00
   W_tilde[144,3]     -3.66      2.22     -3.31     -7.00     -0.02    766.37      1.00
   W_tilde[144,4]     -2.21      2.61     -1.51     -6.34      1.21    677.71      1.00
   W_tilde[145,0]     -7.03      2.47     -7.06    -10.83     -2.68    657.65      1.00
   W_tilde[145,1]     -9.53      6.16     -8.18    -19.23     -1.06    630.27      1.01
   W_tilde[145,2]      5.83      1.57      5.75      3.02      8.12    545.03      1.00
   W_tilde[145,3]     -1.55      2.86     -0.86     -5.90      2.58    602.78      1.01
   W_tilde[145,4]     -2.69      1.84     -2.52     -5.55      0.07    911.62      1.01
   W_tilde[146,0]      5.62      1.55      5.43      3.15      7.90    619.33      1.01
   W_tilde[146,1]      4.58      1.35      4.48      2.48      6.81    842.93      1.00
   W_tilde[146,2]     -4.34      1.69     -4.29     -7.10     -1.67    672.77      1.00
   W_tilde[146,3]      1.00      1.02      1.02     -0.58      2.70   1367.26      1.00
   W_tilde[146,4]     -0.28      1.30     -0.03     -2.20      1.52    602.95      1.00
   W_tilde[147,0]     -1.36      2.01     -1.18     -4.30      1.87    685.50      1.00
   W_tilde[147,1]     -5.74      4.12     -4.81    -11.73     -0.13    738.19      1.00
   W_tilde[147,2]      0.59      1.59      0.80     -1.85      3.09    800.01      1.00
   W_tilde[147,3]     -3.69      2.17     -3.50     -7.12     -0.15    787.76      1.00
   W_tilde[147,4]      2.30      1.24      2.29      0.28      4.17    921.73      1.00
   W_tilde[148,0]     -9.76      2.65     -9.72    -13.91     -5.41    128.15      1.00
   W_tilde[148,1]      3.47      2.69      3.56     -0.42      7.93    745.98      1.00
   W_tilde[148,2]      8.72      1.80      8.59      5.71     11.51    280.32      1.00
   W_tilde[148,3]      3.12      0.91      3.04      1.64      4.52    556.67      1.00
   W_tilde[148,4]      2.86      1.66      2.88      0.62      5.64    645.15      1.00
   W_tilde[149,0]     -3.75      2.36     -3.63     -7.16      0.06    631.60      1.00
   W_tilde[149,1]     12.78      2.87     12.65      8.16     17.20    495.89      1.00
   W_tilde[149,2]      3.69      1.62      3.55      1.27      6.32    505.87      1.00
   W_tilde[149,3]      3.69      1.00      3.62      1.98      5.18    555.87      1.00
   W_tilde[149,4]      7.60      1.91      7.46      4.57     10.74    543.33      1.00
   W_tilde[150,0]     -4.36      1.86     -4.27     -7.16     -1.33   1144.76      1.00
   W_tilde[150,1]     -7.28      5.96     -6.19    -16.26      1.02    432.44      1.00
   W_tilde[150,2]      3.26      1.13      3.14      1.57      5.05    644.39      1.00
   W_tilde[150,3]     -2.31      2.52     -1.81     -5.91      1.62    548.86      1.00
   W_tilde[150,4]     -0.48      2.23     -0.10     -3.87      2.97    735.10      1.00
   W_tilde[151,0]     -2.02      2.00     -1.75     -4.96      1.05    289.80      1.00
   W_tilde[151,1]    -11.52      5.37    -10.95    -20.34     -3.49    968.96      1.00
   W_tilde[151,2]      1.84      1.21      1.93      0.11      3.85    641.62      1.00
   W_tilde[151,3]     -3.74      2.20     -3.39     -7.30     -0.58   1321.81      1.00
   W_tilde[151,4]     -3.02      2.08     -2.72     -5.90      0.61   1091.03      1.00
   W_tilde[152,0]     -1.38      1.53     -1.16     -3.70      1.08   1193.87      1.00
   W_tilde[152,1]     -8.38      6.09     -7.76    -17.69      0.97    604.60      1.00
   W_tilde[152,2]      0.10      1.42      0.14     -2.17      2.44   1221.58      1.00
   W_tilde[152,3]     -3.14      2.64     -2.77     -7.29      0.73    638.64      1.00
   W_tilde[152,4]     -1.94      2.44     -1.40     -5.63      1.67    755.99      1.00
   W_tilde[153,0]      3.00      1.08      2.91      1.26      4.69    871.41      1.00
   W_tilde[153,1]      4.70      1.33      4.59      2.47      6.73    606.31      1.00
   W_tilde[153,2]     -2.12      1.46     -2.08     -4.37      0.20    846.17      1.00
   W_tilde[153,3]      3.00      0.69      2.97      1.84      4.06    490.81      1.00
   W_tilde[153,4]     -2.50      1.58     -2.41     -4.79      0.27   1074.02      1.00
   W_tilde[154,0]      5.15      1.64      4.95      2.51      7.35    752.40      1.00
   W_tilde[154,1]      7.13      1.82      6.97      4.44     10.04    568.71      1.00
   W_tilde[154,2]     -4.09      1.68     -3.98     -6.76     -1.45    756.35      1.00
   W_tilde[154,3]      0.83      0.88      0.84     -0.52      2.24    969.84      1.00
   W_tilde[154,4]      2.34      0.90      2.27      0.94      3.78   1121.73      1.00
   W_tilde[155,0]      1.01      1.72      1.11     -1.43      4.00   1435.69      1.00
   W_tilde[155,1]      5.85      2.46      5.67      2.06      9.78    808.20      1.00
   W_tilde[155,2]     -0.60      1.56     -0.46     -3.10      1.89   1468.35      1.00
   W_tilde[155,3]      3.91      1.18      3.84      2.07      5.90    833.80      1.01
   W_tilde[155,4]     -1.62      2.47     -1.21     -5.64      1.99    973.20      1.00
   W_tilde[156,0]     -2.69      2.00     -2.51     -5.76      0.55    756.77      1.01
   W_tilde[156,1]     -2.76      5.13     -1.36    -10.29      4.62    581.39      1.00
   W_tilde[156,2]      1.86      1.50      1.95     -0.56      4.28    743.94      1.00
   W_tilde[156,3]     -0.54      2.66      0.03     -4.62      3.49    599.26      1.00
   W_tilde[156,4]     -0.16      2.25      0.30     -4.14      2.91    722.70      1.00
   W_tilde[157,0]     -3.00      1.76     -2.88     -5.77     -0.10   1370.35      1.00
   W_tilde[157,1]     -6.31      5.67     -5.10    -15.44      1.90    664.47      1.00
   W_tilde[157,2]      2.02      1.20      2.06      0.24      4.04   1303.88      1.00
   W_tilde[157,3]     -2.02      2.60     -1.63     -6.18      1.72    644.67      1.00
   W_tilde[157,4]     -0.86      2.15     -0.34     -4.39      2.01    720.68      1.00
   W_tilde[158,0]     -0.29      1.26     -0.13     -2.13      1.73    399.61      1.00
   W_tilde[158,1]     12.76      2.72     12.58      7.91     16.70    335.84      1.00
   W_tilde[158,2]      0.14      1.11      0.27     -1.59      1.84    571.17      1.00
   W_tilde[158,3]      4.00      1.17      3.94      2.17      5.97    619.71      1.01
   W_tilde[158,4]      4.92      1.53      4.83      2.28      7.16    761.13      1.00
   W_tilde[159,0]      9.53      2.56      9.38      5.31     13.41    845.70      1.00
   W_tilde[159,1]      6.40      3.78      6.60      1.09     11.59    342.11      1.00
   W_tilde[159,2]     -7.24      2.45     -7.04    -11.46     -3.36    648.82      1.00
   W_tilde[159,3]      1.99      1.69      2.18     -0.35      4.45    330.22      1.00
   W_tilde[159,4]     -2.11      2.54     -1.76     -5.98      1.97   1100.36      1.00
   W_tilde[160,0]      2.85      1.08      2.77      1.23      4.62    474.06      1.00
   W_tilde[160,1]      2.12      2.37      2.21     -2.07      5.55    815.31      1.00
   W_tilde[160,2]     -1.83      1.54     -1.85     -4.10      0.80    791.28      1.00
   W_tilde[160,3]      2.15      0.75      2.14      0.93      3.36    539.86      1.00
   W_tilde[160,4]     -3.19      2.00     -3.00     -6.16     -0.14   1215.21      1.00
   W_tilde[161,0]     -5.70      2.36     -5.62     -9.35     -1.67    645.62      1.00
   W_tilde[161,1]      8.17      2.05      8.06      5.02     11.40    546.67      1.00
   W_tilde[161,2]      5.53      1.54      5.40      3.14      7.94    825.26      1.00
   W_tilde[161,3]      4.29      0.90      4.23      2.82      5.69    351.01      1.00
   W_tilde[161,4]      2.68      1.04      2.65      1.06      4.48   1083.98      1.00
   W_tilde[162,0]      2.42      0.96      2.39      0.90      3.98    688.89      1.00
   W_tilde[162,1]     -5.36      5.62     -4.20    -13.43      2.88    692.23      1.00
   W_tilde[162,2]     -2.32      1.30     -2.18     -4.54     -0.40   1146.38      1.00
   W_tilde[162,3]     -1.90      2.62     -1.34     -5.71      1.98    769.63      1.00
   W_tilde[162,4]     -2.97      2.16     -2.57     -6.24      0.12   1103.65      1.00
   W_tilde[163,0]      3.19      1.41      3.04      0.89      5.41    888.18      1.00
   W_tilde[163,1]      0.30      4.35      1.35     -6.10      6.10    430.09      1.00
   W_tilde[163,2]     -2.54      1.63     -2.49     -5.24      0.08   1089.40      1.00
   W_tilde[163,3]     -0.16      1.89      0.30     -2.64      2.38    444.71      1.00
   W_tilde[163,4]     -1.08      1.79     -0.59     -3.76      1.29    484.77      1.00
   W_tilde[164,0]     -2.12      1.77     -1.98     -4.91      0.75   1229.08      1.00
   W_tilde[164,1]     10.03      2.16      9.88      6.41     13.37    244.62      1.01
   W_tilde[164,2]      1.86      1.54      1.95     -0.46      4.62    951.70      1.00
   W_tilde[164,3]      3.40      0.90      3.35      2.07      4.99    356.74      1.01
   W_tilde[164,4]      3.93      1.16      3.81      2.10      5.68    906.72      1.00
   W_tilde[165,0]     -5.04      2.52     -5.08     -8.87     -0.38    602.70      1.00
   W_tilde[165,1]     -8.35      5.93     -7.65    -17.93      0.82    965.69      1.00
   W_tilde[165,2]      4.19      1.45      4.15      1.93      6.63    786.06      1.00
   W_tilde[165,3]     -2.45      2.59     -2.10     -6.55      1.56    985.86      1.00
   W_tilde[165,4]     -0.91      2.06     -0.45     -4.00      2.28   1034.05      1.00
   W_tilde[166,0]      5.45      1.75      5.26      2.78      8.07    754.86      1.01
   W_tilde[166,1]     -5.21      5.38     -3.77    -12.88      1.69    522.77      1.00
   W_tilde[166,2]     -4.55      1.86     -4.47     -7.43     -1.50    690.04      1.00
   W_tilde[166,3]     -1.74      2.64     -1.21     -5.92      1.96    557.86      1.00
   W_tilde[166,4]     -4.45      2.38     -4.12     -8.24     -0.81    911.28      1.00
   W_tilde[167,0]      0.19      1.64      0.46     -2.89      2.41   1357.03      1.00
   W_tilde[167,1]      2.56      2.14      2.80      0.55      5.46    139.70      1.01
   W_tilde[167,2]     -0.04      1.54      0.05     -2.65      2.30   1593.31      1.00
   W_tilde[167,3]      2.34      1.14      2.36      0.96      4.06    157.00      1.02
   W_tilde[167,4]     -2.10      1.62     -1.87     -4.69      0.31   1016.99      1.00
   W_tilde[168,0]      8.00      2.09      7.74      4.76     11.31    568.60      1.00
   W_tilde[168,1]      4.09      1.64      3.95      1.39      6.68   1167.26      1.00
   W_tilde[168,2]     -5.61      2.15     -5.50     -9.20     -2.09    489.38      1.00
   W_tilde[168,3]      4.43      1.17      4.39      2.46      6.23    636.63      1.01
   W_tilde[168,4]     -7.36      2.27     -7.35    -10.91     -3.52    462.73      1.00
   W_tilde[169,0]      2.12      2.06      2.13     -1.24      5.46   1186.37      1.00
   W_tilde[169,1]     -6.71      5.36     -6.13    -14.82      1.29    764.46      1.00
   W_tilde[169,2]     -2.26      1.85     -2.23     -5.06      0.83   1377.28      1.00
   W_tilde[169,3]     -3.37      2.36     -2.99     -6.78      0.37    841.81      1.00
   W_tilde[169,4]     -1.44      2.21     -0.80     -4.99      1.59    463.05      1.00
   W_tilde[170,0]      5.06      1.63      4.84      2.52      7.59    533.37      1.00
   W_tilde[170,1]     12.31      2.55     12.09      8.06     16.33    192.60      1.01
   W_tilde[170,2]     -3.82      1.67     -3.71     -6.47     -1.08    719.52      1.00
   W_tilde[170,3]      3.32      1.09      3.26      1.57      5.15    781.92      1.01
   W_tilde[170,4]      2.65      0.81      2.58      1.25      3.89    416.31      1.01
   W_tilde[171,0]     -2.04      1.53     -1.87     -4.57      0.29   1024.71      1.00
   W_tilde[171,1]     -7.08      5.34     -6.12    -14.46      1.40    482.45      1.00
   W_tilde[171,2]      0.59      1.19      0.70     -1.11      2.71    858.04      1.00
   W_tilde[171,3]     -3.52      2.51     -3.05     -7.11      0.30    625.17      1.00
   W_tilde[171,4]      0.49      1.44      0.71     -1.04      2.68    452.85      1.00
   W_tilde[172,0]      5.41      1.68      5.21      2.71      7.93    289.20      1.00
   W_tilde[172,1]      3.48      2.66      3.76      0.25      7.49    222.78      1.00
   W_tilde[172,2]     -3.99      1.79     -3.90     -7.07     -1.25    384.33      1.00
   W_tilde[172,3]      1.38      1.41      1.54     -0.35      3.53    219.01      1.00
   W_tilde[172,4]     -1.50      1.98     -1.05     -4.60      1.27    707.32      1.00
   W_tilde[173,0]      5.19      1.90      4.97      1.96      8.03    352.47      1.00
   W_tilde[173,1]      3.62      2.70      3.94     -0.36      7.35    404.05      1.00
   W_tilde[173,2]     -3.63      2.09     -3.65     -6.61      0.31    361.49      1.00
   W_tilde[173,3]     -0.05      1.54      0.16     -2.17      2.42    513.82      1.00
   W_tilde[173,4]      1.44      1.00      1.50      0.12      2.98    629.17      1.00
   W_tilde[174,0]     -8.38      2.34     -8.23    -12.30     -4.86    208.89      1.00
   W_tilde[174,1]     -9.50      6.05     -8.51    -18.89     -0.46    718.76      1.00
   W_tilde[174,2]      6.91      1.36      6.82      4.81      9.18    518.76      1.01
   W_tilde[174,3]     -2.06      2.69     -1.58     -6.21      1.86    955.48      1.00
   W_tilde[174,4]     -1.01      1.72     -0.59     -3.56      1.54    666.12      1.01
   W_tilde[175,0]      5.85      2.02      5.72      2.71      9.12    602.33      1.00
   W_tilde[175,1]     10.38      2.21     10.26      6.88     13.83    182.43      1.01
   W_tilde[175,2]     -4.29      1.86     -4.23     -7.01     -1.21    812.28      1.00
   W_tilde[175,3]      3.31      1.08      3.28      1.64      5.13    515.87      1.01
   W_tilde[175,4]      1.01      1.23      1.07     -0.61      2.92    641.79      1.00
   W_tilde[176,0]     -4.58      1.92     -4.53     -7.65     -1.41    616.77      1.00
   W_tilde[176,1]      8.06      2.14      7.96      4.74     11.33    247.18      1.00
   W_tilde[176,2]      4.36      1.02      4.30      2.76      6.04    726.52      1.00
   W_tilde[176,3]      3.49      1.02      3.47      1.98      5.32    408.60      1.00
   W_tilde[176,4]      3.56      1.11      3.54      1.80      5.48    384.80      1.01
   W_tilde[177,0]      2.65      1.06      2.60      0.88      4.29    850.18      1.00
   W_tilde[177,1]     -3.71      4.00     -2.91     -9.60      2.36    944.19      1.00
   W_tilde[177,2]     -2.58      1.37     -2.47     -4.43     -0.13    987.06      1.00
   W_tilde[177,3]     -3.96      2.08     -3.63     -7.30     -0.90   1029.94      1.00
   W_tilde[177,4]      2.73      1.16      2.68      0.88      4.51    729.80      1.00
   W_tilde[178,0]      0.68      1.02      0.78     -0.65      2.57    743.33      1.00
   W_tilde[178,1]     -5.36      4.85     -4.54    -11.99      2.28    590.45      1.00
   W_tilde[178,2]     -1.02      1.20     -0.93     -2.85      0.92   1171.80      1.00
   W_tilde[178,3]     -3.77      2.31     -3.28     -7.03     -0.17    565.96      1.00
   W_tilde[178,4]      1.52      1.11      1.51      0.21      3.62    704.52      1.00
   W_tilde[179,0]      4.04      1.37      3.87      1.71      6.09    835.91      1.01
   W_tilde[179,1]     11.43      2.40     11.33      7.33     15.09    206.81      1.01
   W_tilde[179,2]     -2.44      1.61     -2.34     -4.83      0.30    719.48      1.00
   W_tilde[179,3]      4.11      1.14      4.04      2.29      5.88    835.63      1.00
   W_tilde[179,4]      2.08      1.11      1.97      0.25      3.85    616.09      1.01
   W_tilde[180,0]     -1.48      1.45     -1.30     -3.89      0.76    857.54      1.00
   W_tilde[180,1]      3.82      1.53      3.64      1.37      6.15    424.51      1.01
   W_tilde[180,2]      0.70      1.36      0.74     -1.51      2.88   1026.33      1.00
   W_tilde[180,3]      1.40      0.79      1.40      0.06      2.68   1082.13      1.00
   W_tilde[180,4]      1.43      0.90      1.45      0.19      3.03    767.19      1.00
   W_tilde[181,0]     -7.91      2.69     -7.75    -11.99     -3.63    664.01      1.00
   W_tilde[181,1]      7.55      2.16      7.45      4.14     11.05    454.46      1.00
   W_tilde[181,2]      7.04      2.01      6.90      3.74     10.14    717.11      1.00
   W_tilde[181,3]      2.20      0.81      2.21      0.88      3.47    593.34      1.00
   W_tilde[181,4]      7.24      1.73      7.11      4.12      9.88    326.08      1.00
   W_tilde[182,0]      2.72      0.91      2.66      1.27      4.17    788.21      1.00
   W_tilde[182,1]     -5.82      5.64     -5.62    -13.90      2.98    366.00      1.00
   W_tilde[182,2]     -2.04      1.66     -2.07     -4.62      0.88    291.52      1.00
   W_tilde[182,3]     -2.73      2.22     -2.45     -6.41      0.31    506.07      1.00
   W_tilde[182,4]     -1.86      2.39     -1.31     -5.75      1.57    646.38      1.00
   W_tilde[183,0]     -5.08      1.85     -5.03     -7.98     -1.85    680.12      1.00
   W_tilde[183,1]    -12.07      5.71    -11.32    -20.05     -2.34   1082.10      1.00
   W_tilde[183,2]      3.84      0.89      3.79      2.18      5.11    358.42      1.02
   W_tilde[183,3]     -3.51      2.50     -3.18     -7.24      0.53   1286.08      1.00
   W_tilde[183,4]     -2.61      2.24     -2.28     -5.96      0.78    746.02      1.00
   W_tilde[184,0]     -4.34      1.90     -4.17     -7.12     -1.32    233.51      1.03
   W_tilde[184,1]      3.57      2.36      3.69      1.05      7.67    284.45      1.01
   W_tilde[184,2]      3.56      1.24      3.53      1.64      5.65    687.07      1.01
   W_tilde[184,3]      0.89      1.31      0.95     -0.91      3.11    331.58      1.00
   W_tilde[184,4]      4.01      1.15      3.94      2.02      5.67    871.59      1.00
   W_tilde[185,0]     -3.47      1.83     -3.28     -6.16     -0.46    894.17      1.00
   W_tilde[185,1]     -6.26      5.33     -5.14    -14.41      1.37    543.16      1.00
   W_tilde[185,2]      2.49      1.20      2.51      0.35      4.27   1131.44      1.00
   W_tilde[185,3]     -1.77      2.53     -1.28     -5.64      1.88    621.51      1.00
   W_tilde[185,4]     -0.98      2.21     -0.51     -4.46      2.21    885.37      1.00
   W_tilde[186,0]      4.33      1.36      4.21      2.12      6.43    758.62      1.00
   W_tilde[186,1]     12.61      3.05     12.43      7.66     17.39    565.71      1.01
   W_tilde[186,2]     -2.92      1.68     -2.86     -5.68     -0.28    668.20      1.00
   W_tilde[186,3]      5.87      1.46      5.81      3.64      8.14    617.87      1.01
   W_tilde[186,4]     -1.35      1.46     -1.14     -3.52      0.92   1066.45      1.00
   W_tilde[187,0]      3.95      1.54      3.87      1.44      6.35    980.30      1.00
   W_tilde[187,1]     -3.69      6.05     -2.13    -13.27      4.85    556.06      1.00
   W_tilde[187,2]     -3.37      1.69     -3.18     -6.29     -0.81   1023.21      1.00
   W_tilde[187,3]     -1.48      2.72     -0.94     -5.69      2.57    596.83      1.00
   W_tilde[187,4]     -2.89      2.42     -2.43     -6.30      0.58    802.55      1.00
   W_tilde[188,0]      8.33      2.33      8.07      4.70     12.00    568.88      1.00
   W_tilde[188,1]     -2.78      5.26     -1.47    -10.40      4.77    679.64      1.00
   W_tilde[188,2]     -6.66      2.29     -6.56    -10.12     -2.89    539.55      1.00
   W_tilde[188,3]     -1.84      2.53     -1.25     -5.59      1.85    676.11      1.00
   W_tilde[188,4]     -3.24      2.69     -2.82     -7.26      1.14   1161.63      1.00
   W_tilde[189,0]     -0.23      1.67     -0.15     -2.76      2.56   1184.14      1.00
   W_tilde[189,1]    -10.13      6.15     -9.47    -18.56      0.10    831.82      1.00
   W_tilde[189,2]     -0.94      1.33     -0.86     -2.91      1.29   1335.09      1.00
   W_tilde[189,3]     -3.74      2.67     -3.40     -7.79      0.32    868.57      1.00
   W_tilde[189,4]     -3.12      2.27     -2.81     -6.71      0.33    943.87      1.00
   W_tilde[190,0]      4.32      1.45      4.16      1.90      6.50    587.88      1.00
   W_tilde[190,1]      3.80      2.43      4.04      0.79      7.18    573.16      1.00
   W_tilde[190,2]     -3.49      1.55     -3.42     -5.84     -0.84    692.82      1.00
   W_tilde[190,3]     -1.47      1.28     -1.29     -3.34      0.29    693.23      1.00
   W_tilde[190,4]      4.36      1.02      4.28      2.73      6.05    573.22      1.00
   W_tilde[191,0]     -1.32      1.47     -1.22     -3.67      0.98    869.17      1.01
   W_tilde[191,1]     -3.12      4.77     -2.07    -10.62      3.80    559.41      1.00
   W_tilde[191,2]      0.23      1.10      0.32     -1.66      1.82    865.69      1.00
   W_tilde[191,3]     -0.44      2.32      0.21     -4.06      2.67    549.87      1.00
   W_tilde[191,4]     -1.70      2.14     -1.21     -5.01      1.28   1121.03      1.00
   W_tilde[192,0]      7.84      2.24      7.60      4.66     11.63    297.62      1.00
   W_tilde[192,1]     -6.42      5.18     -5.33    -14.30      0.94    710.48      1.00
   W_tilde[192,2]     -6.47      2.20     -6.34     -9.99     -2.79    669.62      1.00
   W_tilde[192,3]     -3.13      2.45     -2.81     -6.80      0.76    825.50      1.00
   W_tilde[192,4]     -4.29      2.37     -4.05     -8.14     -0.81    947.90      1.00
   W_tilde[193,0]     -9.53      2.73     -9.42    -13.78     -5.18    497.79      1.00
   W_tilde[193,1]    -12.49      6.11    -11.70    -22.16     -2.83    561.96      1.00
   W_tilde[193,2]      7.89      1.87      7.72      5.20     11.09    545.80      1.01
   W_tilde[193,3]     -2.74      2.74     -2.35     -7.17      1.30    634.69      1.00
   W_tilde[193,4]     -2.11      1.78     -1.76     -4.83      0.61    735.06      1.00
   W_tilde[194,0]     -1.74      1.77     -1.58     -4.36      1.27   1048.50      1.00
   W_tilde[194,1]     -9.34      6.09     -8.35    -18.85     -0.36   1062.68      1.00
   W_tilde[194,2]      1.02      1.15      1.08     -0.57      3.08   1007.42      1.00
   W_tilde[194,3]     -2.53      2.77     -2.05     -6.93      1.36   1133.10      1.00
   W_tilde[194,4]     -3.59      2.02     -3.24     -6.78     -0.89   1020.94      1.00
   W_tilde[195,0]      5.78      2.17      5.61      2.47      9.01    498.71      1.00
   W_tilde[195,1]      5.67      1.67      5.56      2.89      7.99    748.02      1.00
   W_tilde[195,2]     -4.51      2.04     -4.45     -7.61     -0.90    681.59      1.00
   W_tilde[195,3]      1.77      1.03      1.76     -0.03      3.31   1024.96      1.00
   W_tilde[195,4]     -1.01      1.35     -0.78     -2.95      0.99    856.61      1.00
   W_tilde[196,0]      5.93      1.88      5.75      3.10      9.27    482.06      1.00
   W_tilde[196,1]      4.83      3.92      5.35     -0.30     10.45    459.68      1.00
   W_tilde[196,2]     -4.56      1.95     -4.47     -7.49     -1.25    705.81      1.00
   W_tilde[196,3]      2.20      1.86      2.42     -0.21      4.98    516.04      1.00
   W_tilde[196,4]     -2.78      1.75     -2.51     -5.59     -0.28    877.45      1.00
   W_tilde[197,0]     -4.14      1.97     -4.03     -7.47     -1.13    623.19      1.00
   W_tilde[197,1]     -3.78      4.87     -2.74    -11.49      2.76    521.60      1.00
   W_tilde[197,2]      3.23      1.09      3.28      1.56      4.98    593.82      1.00
